Method,MCC,MCC_std,Recall_PD,Recall_std,F1,Accuracy,Errors,Delta_vs_Temporal,Delta_vs_Fixed
Temporal,0.9473854381825779,0.008044153289065903,0.9650032629976071,0.005531300154511164,0.9733745660911346,0.9735958233630628,1213.8,0.0,-0.011157660916966017
CWT,0.9198643076136562,0.03067307097633041,0.9476876223624103,0.02247263194214248,0.9591730396118313,0.9597433108549053,1850.6,-0.027521130568921692,-0.03867879148588771
Average,0.9569717291723098,0.010268734670754792,0.9690754840113117,0.008072937150763649,0.9781801165502163,0.9783946051772896,993.2,0.00958629098973185,-0.0015713699272341675
Best fixed,0.9585430990995439,0.007946303495163858,0.9699108113987384,0.005167830083950107,0.978986419681832,0.9791820752664782,957.0,0.011157660916966017,0.0
Logistic stacking,0.9467758383419254,0.016384210450367243,0.9500195779856428,0.01952528134241279,0.972094923026938,0.9728083532738742,1250.0,-0.0006095998406525638,-0.01176726075761858
PoC3 gate,0.9488022854619184,0.008464913238496933,0.9671524907548401,0.0035578479951699268,0.9741601132903309,0.9743354361540135,1179.8,0.0014168472793404385,-0.009740813637625578
PoC4 reliability fusion,0.9634054183894459,0.0012288652719510402,0.9724341962149229,0.0035265341343719285,0.9814426455194496,0.9816140961496629,845.2,0.016019980206868012,0.004862319289901995
PoC4 conservative reliability fusion,0.9635752467129588,0.0002254434424772931,0.9720600391559714,0.002724015685927092,0.9815142782997783,0.9816924080922341,841.6,0.016189808530380878,0.005032147613414861
Oracle,0.977151995772138,0.005495381170866909,0.9807787687622362,0.002315967320618429,0.9884271847455247,0.9885142484228846,528.0,0.02976655758956004,0.018608896672594022
