delta_mcc
8.299086184174908620e-02
8.437655289453982466e-02
8.355975767342438409e-02
8.363434234299660375e-02
8.248368296469299477e-02
8.320091593464740143e-02
8.362767840104756711e-02
8.231013663077579867e-02
8.318249069500183168e-02
8.290957826426725852e-02
8.339606809381883146e-02
8.275016241510491088e-02
8.412110390408478189e-02
8.295902684500555679e-02
8.361183804794469765e-02
8.348806728571367408e-02
8.310633219705865216e-02
8.392799369664771802e-02
8.238471894879506596e-02
8.412679430353620091e-02
8.362839179162484537e-02
8.321934425221022558e-02
8.371639923644091930e-02
8.402994436266864042e-02
8.353274030115875881e-02
8.230499564715831884e-02
8.382649597125024776e-02
8.375339406172144230e-02
8.236386443839649463e-02
8.378107339983265067e-02
8.287444014838174500e-02
8.317168664029384040e-02
8.311950618378305400e-02
8.302482861728410768e-02
8.367324713923607327e-02
8.274636830796844311e-02
8.341142838124770975e-02
8.377040303840566082e-02
8.345166366732137408e-02
8.403309859200369658e-02
8.499839449951995807e-02
8.218373848629345613e-02
8.388714100079508462e-02
8.414413670418208202e-02
8.341415145999064862e-02
8.371624428170509891e-02
8.364958448718962103e-02
8.279624730281576195e-02
8.306388582494461659e-02
8.285238662426541723e-02
8.266349703765396573e-02
8.376823014527789990e-02
8.413328225997773746e-02
8.433112477315685140e-02
8.405260318987506363e-02
8.371961047607079376e-02
8.362204378523374615e-02
8.361218736134845564e-02
8.341653864972320420e-02
8.336376977047876835e-02
8.352453826928663005e-02
8.288740239842895541e-02
8.288619890374659960e-02
8.473787956758338513e-02
8.266618912452661228e-02
8.336412461315378941e-02
8.322511639851881693e-02
8.354344589777296104e-02
8.411241136916602912e-02
8.336716592393944580e-02
8.387104439413772816e-02
8.297994772251371387e-02
8.397483019243778823e-02
8.340540545583807752e-02
8.269824711162021558e-02
8.322964823305190052e-02
8.342283814643847162e-02
8.297874005387562146e-02
8.263835497915350548e-02
8.304801859265154018e-02
8.311619487127741568e-02
8.208213751817450277e-02
8.423339395776430205e-02
8.284318198357920604e-02
8.355965155745348483e-02
