seed,expert,model,evaluation,roc_auc,pr_auc,brier,nll,ece,accuracy_at_0.5,base_rate
42,temporal,logistic,Va0,0.9648366488339479,0.9985210776046254,0.028778059140335096,0.1015494786973694,0.036311383722174656,0.9605348988910632,0.9660795825179387
42,temporal,hist_gradient_boosting,Va0,0.9882161221627799,0.9995787363238229,0.012825704018188637,0.050458006061293824,0.008948518642475058,0.9846705805609915,0.9660795825179387
42,temporal,small_mlp,Va0,0.9810191918142627,0.9992858043756492,0.013084922037879284,0.0543371540915437,0.010269935698601948,0.9840182648401826,0.9660795825179387
42,cwt,logistic,Va0,0.9647295226717915,0.9985887964908051,0.030239231961932452,0.1069447110769428,0.03869478012939381,0.9569471624266145,0.9660795825179387
42,cwt,hist_gradient_boosting,Va0,0.9788312211083987,0.9990163560320118,0.013978833225923306,0.05803714444961021,0.01014178084705961,0.9843444227005871,0.9660795825179387
42,cwt,small_mlp,Va0,0.9840641718173792,0.9994073883398031,0.013611623985829211,0.05378613258978788,0.009644707154342829,0.9836921069797782,0.9660795825179387
43,temporal,logistic,Va0,0.8951315799386739,0.9846600471993234,0.15010223927919217,0.6476953450986059,0.21113446110952278,0.8320287018917156,0.8701891715590345
43,temporal,hist_gradient_boosting,Va0,0.9863730195203907,0.9977988005739367,0.05195766598755243,0.18353919795206666,0.06161125350496527,0.9360730593607306,0.8701891715590345
43,temporal,small_mlp,Va0,0.9686278092109724,0.9951744518081215,0.04696142495422541,0.15466542798540506,0.0208600274672487,0.9347684279191129,0.8701891715590345
43,cwt,logistic,Va0,0.9863576454678257,0.992134218999462,0.05446524788682362,0.2081381949607895,0.08392707215790066,0.9380300065231572,0.6210045662100456
43,cwt,hist_gradient_boosting,Va0,0.9967000354358609,0.9978527978282352,0.03255369721288419,0.12244625209174255,0.04934216422645783,0.95955642530985,0.6210045662100456
43,cwt,small_mlp,Va0,0.9955727773036926,0.9969725165211463,0.05852096994923583,0.2010209451760273,0.09015295392409595,0.9243313763861709,0.6210045662100456
44,temporal,logistic,Va0,0.9708760855135794,0.9971924703313365,0.19076423739151793,0.5804353077709173,0.2555019211374457,0.7592954990215264,0.9341161121983039
44,temporal,hist_gradient_boosting,Va0,0.9852919824105315,0.9988318939817596,0.017450868206468836,0.06704988474576566,0.02304595161613819,0.9810828440965427,0.9341161121983039
44,temporal,small_mlp,Va0,0.9818453039438022,0.9985884089197266,0.027793127995028883,0.09556645882244628,0.04116463056998752,0.9667318982387475,0.9341161121983039
44,cwt,logistic,Va0,0.9515899309724631,0.9879506194927468,0.1143136015664413,0.388100598120225,0.16287444933840153,0.8434442270058709,0.7788649706457925
44,cwt,hist_gradient_boosting,Va0,0.9932201568313543,0.9982259428879294,0.02918477165088897,0.10574817115817026,0.04733113282634979,0.9654272667971298,0.7788649706457925
44,cwt,small_mlp,Va0,0.9929533360015417,0.9980067629016163,0.04171856892158548,0.13620051010431947,0.06312565937093653,0.9425962165688193,0.7788649706457925
45,temporal,logistic,Va0,0.9237476666897116,0.9920498453182988,0.12132619705313512,0.5123034520304346,0.19323208475990822,0.865296803652968,0.9047619047619048
45,temporal,hist_gradient_boosting,Va0,0.9874816051199494,0.9986140496583038,0.03393964319659336,0.12247103309712813,0.035863881878346576,0.9582517938682322,0.9047619047619048
45,temporal,small_mlp,Va0,0.9791335394218328,0.9976514113867407,0.0285223252987208,0.098408104263169,0.010161067268401519,0.9608610567514677,0.9047619047619048
45,cwt,logistic,Va0,0.9887075919264827,0.9945312582190958,0.060181892915454685,0.2235176193368377,0.11716690571847987,0.9292237442922374,0.6656881930854534
45,cwt,hist_gradient_boosting,Va0,0.9966678218472532,0.9981629296370056,0.026012857460027537,0.10497729118931223,0.04404148251808943,0.9680365296803652,0.6656881930854534
45,cwt,small_mlp,Va0,0.994562206474588,0.9969544163479235,0.02806943310542994,0.10117395997880615,0.033254418215252345,0.9637964774951077,0.6656881930854534
46,temporal,logistic,Va0,0.9697787913100168,0.9986560583301929,0.037709525743822844,0.15411348930853747,0.05629566290090422,0.9553163731245923,0.9579256360078278
46,temporal,hist_gradient_boosting,Va0,0.968237377696484,0.9985262819042183,0.023875269377487737,0.10890202895243464,0.021266928412665836,0.9729288975864319,0.9579256360078278
46,temporal,small_mlp,Va0,0.9702855574295344,0.9986618058707997,0.028470982212681295,0.1007829881513118,0.020547444988361085,0.9634703196347032,0.9579256360078278
46,cwt,logistic,Va0,0.9880857311423096,0.9977506926078128,0.031068910028859045,0.12662727111672903,0.04719184471243396,0.9621656881930855,0.8411611219830398
46,cwt,hist_gradient_boosting,Va0,0.9966074111465771,0.9993378098271237,0.02299278758449335,0.08685075657175262,0.03279256869312516,0.9706457925636007,0.8411611219830398
46,cwt,small_mlp,Va0,0.9962722128580789,0.9992720299471812,0.02241457802282632,0.07740797319393272,0.025181306658889745,0.9690150032615786,0.8411611219830398
