cwt_minus_temporal,gate_minus_temporal,gate_minus_cwt
-0.010302317911351944,0.008539750947126667,0.023137945933671022
-0.01575774559315124,0.00813631926656555,0.024184977320549916
-0.01462587429816764,0.008216831243375577,0.02024239457492749
-0.013815687512714225,0.007685129745435004,0.023764995588345328
-0.010893060369612129,0.011348953584424448,0.023663472947062503
-0.017477348287942895,0.008731463114877935,0.02272994750577617
-0.012171186534904566,0.008754027207379722,0.0246382541182818
-0.011033060023358021,0.008150304965775845,0.023244272341163108
-0.015189982276812786,0.00902349344952369,0.022379797472810492
-0.014871247525973796,0.010083172336387336,0.023796676028525088
-0.015698164037727724,0.009135606965499754,0.024406213769171625
-0.01597422246449587,0.007974235143254016,0.024971354480052055
-0.015656453091749234,0.008460592970003344,0.02431625269385551
-0.017216486380770668,0.009205800523690688,0.02421032526060307
-0.012383844784261133,0.009648027782459878,0.023937934240236047
-0.012425671347268907,0.00956560914147997,0.020429923663510374
-0.01470300818197201,0.008908598418591929,0.02414310623156768
-0.014192283212762336,0.006860961955027611,0.021006788244247954
-0.016035433772864538,0.007615336811028994,0.022252844972261654
-0.01647808231624015,0.008645079739217687,0.026157878038349125
-0.013116588767522197,0.008819617369437704,0.02405932271094202
-0.014637133869470964,0.008240262075423388,0.02373803804562369
-0.015076655660929084,0.010019695119961591,0.02344199827166249
-0.013327477083091566,0.00781669565177523,0.022392245878710693
-0.013621581468157173,0.008776748402143264,0.024255536680130252
-0.014719619322395183,0.009705843781631307,0.02350937465323466
-0.015133514775475199,0.00813451568485768,0.021135985348422315
-0.015469435510686025,0.008024945673936967,0.02503477827629852
-0.014080460592207467,0.00982092098578402,0.022218120729471935
-0.016943479637133385,0.009957534124411915,0.023359323736777737
-0.01466938673886864,0.007815124677490903,0.02597042773672875
-0.014562260003025296,0.008995321764648567,0.02239834132131302
-0.015277892130274973,0.009275731965175171,0.02118782161781485
-0.015250965511301784,0.008826857226185592,0.02016313021521665
-0.015472281035495472,0.007796103484845163,0.022470505800961882
-0.011790359951911022,0.008151976258013671,0.024367841182292738
-0.012672584716900137,0.008466831220302118,0.02516062662367724
-0.013473633000566254,0.007126605443802392,0.02378810634905848
-0.015508037976239897,0.008348576413536035,0.02331822262728922
-0.014688143171278645,0.008131842529852218,0.023931363167005393
-0.014874469456937156,0.010004465991483302,0.02338200829271153
-0.01413719292074167,0.007663964932640321,0.0233975749918357
-0.01622685761356979,0.00874777345665434,0.023422716650805864
-0.015023183642334903,0.009319821747084789,0.02305519519343746
-0.015247524331309381,0.008376177947692742,0.025005408236644655
-0.014306622887754417,0.008863053481767746,0.024060026910735166
-0.01520148960303691,0.007719767457059712,0.023970948993014662
-0.01990189181336033,0.008061241933137064,0.021109656122562992
-0.015259926022470283,0.007344009479957281,0.023768645485140905
-0.012985986659303173,0.0085127282657107,0.023484205214054255
-0.011966145400920336,0.006862644004123952,0.024499258337379093
-0.015725455163637436,0.009094098587460353,0.02299115319616385
-0.012644306509349335,0.009763482946030244,0.023324020358327924
-0.013182871248260453,0.008295756786803832,0.023688646773687982
-0.01754451009790925,0.007941586819609658,0.02381627519405416
-0.014536037456354678,0.007878493172001066,0.022808407987951695
-0.014618270976130998,0.007016050195272405,0.022154178190627816
-0.018386413920689848,0.009404244411003071,0.023405279501008458
-0.015108555281625247,0.007354548025638286,0.02231722575449724
-0.01458201650295532,0.006977080911575673,0.02245729779067629
-0.016935955083751897,0.008298685052464005,0.022818001701906954
-0.012498677160539429,0.006713133104812252,0.023087477894014108
-0.012558521748390672,0.006988441715619631,0.024975458595651423
-0.014067301758033945,0.008969757677095846,0.02082836774857888
-0.017226524062326165,0.008625823250494435,0.024358852820110632
-0.01489715252620083,0.008429312906138242,0.025083742633338346
-0.01555919024073149,0.007743787952645631,0.02419085932252585
-0.016691151954366545,0.007436345568436198,0.020601066229556153
-0.013503706497566603,0.008049168011040386,0.022682624866911305
-0.012915367504935604,0.009760938120311757,0.024696883431466032
-0.015352930233502815,0.008556706868311226,0.02203228646591704
-0.017346459302160167,0.007135622488082083,0.023307240303132915
-0.017230201448729332,0.01015144004299251,0.022318873127330274
-0.016326344111057045,0.0074585196383289976,0.020740632654326574
-0.01722088165361968,0.009352248929644813,0.02074178061149612
-0.015654361629492186,0.008296236999659978,0.021909412601549327
-0.011977613934578857,0.007852704881675332,0.024176157574906765
-0.013354581322401193,0.008826490981904689,0.021331500990549812
-0.015568038376787996,0.00806099477883171,0.021014633113421555
-0.014347030749961909,0.008217971842437444,0.02122442316784834
-0.012975694434774754,0.008889274580071382,0.023125117518093874
-0.013823441456086383,0.008676416728758629,0.02251516291369382
-0.017117223429894968,0.008832931016601098,0.02360723679937704
-0.016290971555878553,0.007942615134013953,0.02311477336576606
-0.01320469660210899,0.00865172070857867,0.027326161653403958
-0.014536578916860887,0.009183294237625983,0.019619616396091555
-0.014773917976556361,0.008190228329688187,0.024563257218169876
-0.016397445178417236,0.008395986385151932,0.024368458064375487
-0.01576817410388298,0.009532483711820805,0.025397274779294432
-0.014736878791478336,0.007565967954220376,0.023400377567700192
-0.015449501516158093,0.00922152025044154,0.022078409736557947
-0.01431747603899125,0.008541706255327908,0.024551769666488088
-0.012947846897506055,0.008318778702008478,0.024359035792907435
-0.011701039739249852,0.0073615948222792715,0.025175052206790394
-0.014667373257650773,0.007698980887963169,0.023067238612516916
-0.014222296988310124,0.00881976336557777,0.022506221081370015
-0.013522285871251594,0.008995820770123508,0.026147807601951678
-0.01346415536339729,0.008452063713969338,0.02395076453057643
-0.012911304760405362,0.0076492773193410635,0.02525307309450031
-0.012729865933577056,0.008879825559652055,0.022047288056743053
-0.016802705504187943,0.008988310415499412,0.024454844264616415
-0.012888860802582669,0.007659349803980642,0.022650096594252656
-0.01683286039587839,0.009586363864854563,0.023271962180296923
-0.018697475581921807,0.008179294539100046,0.02368123550065171
-0.016720037443838542,0.007750595678002514,0.024523952290940176
-0.014552430045970954,0.008333798094321887,0.025696119955201824
