seed,expert,temperature,raw_brier,calibrated_brier,raw_nll,calibrated_nll,raw_ece,calibrated_ece,raw_mcc_at_0.5,calibrated_mcc_at_0.5
42,temporal,0.6597539553864471,0.027567374302670308,0.026439443493725734,0.10577873608469758,0.09238505095941502,0.03521544372418144,0.018516244929395863,0.9334310384448612,0.9334310384448612
42,cwt,0.5946035575013605,0.02662560338867505,0.02450698979604948,0.10227378639248112,0.08622719307079209,0.03303984647970647,0.00542449191802428,0.9322099401861129,0.9322099401861129
43,temporal,1.9999999999999998,0.1013063179269302,0.08795288634501061,0.3585502651142524,0.2781032860424214,0.13176013886465282,0.1352616571787159,0.7666670419320751,0.7666670419320751
43,cwt,4.0,0.3263207863769722,0.20774623958512659,1.3186543493590113,0.5831722960902501,0.3637139558463311,0.3003824745909806,0.3710287558429099,0.3710287558429099
44,temporal,1.4142135623730947,0.048842283377524186,0.046211406995410716,0.16714469386546935,0.15444289179264012,0.061643549616808686,0.05681683535716621,0.875269103085478,0.875269103085478
44,cwt,3.031433133020796,0.1697249861767196,0.1354133654199969,0.5917394771618243,0.39842799689011926,0.21714989840888915,0.21561854392488652,0.6209667785467679,0.6209667785467679
45,temporal,1.4640856959456252,0.07367336948670349,0.06895133859630313,0.24506629898883792,0.2226335813871207,0.09925608717376624,0.09146008682680606,0.8246211251235321,0.8246211251235321
45,cwt,3.249009585424942,0.24769826778175003,0.17696439004876705,0.7923565991581412,0.5123039242448775,0.3111507226058337,0.3069305315912583,0.4456373531339239,0.4456373531339239
46,temporal,0.9012504626108302,0.03212992285096855,0.032323266886772326,0.11296640540773936,0.11179805362187525,0.04057361794145444,0.03567570307050755,0.9189111415962902,0.9189111415962902
46,cwt,1.8025009252216602,0.11511949712702128,0.10260284202023694,0.3655844527599705,0.3131398763320298,0.16270776277346372,0.17718716812733643,0.7195983478150974,0.7195983478150974
