seed,split,method,threshold,mcc,accuracy,precision,recall_pd,specificity,f1,pr_auc,roc_auc,brier,ece_10_bins,tn,fp,fn,tp,errors
42,train_oof,temporal,0.5199999999999999,0.08704264878153375,0.8657487091222031,0.12233009708737864,0.2012779552715655,0.9080553295362083,0.15217391304347827,0.107497033568172,0.6046319379635383,0.2395464952295114,0.4288689458339271,4464,452,250,63,702
42,train_oof,cwt,0.635,0.43001660361534594,0.8965385350927519,0.32779456193353473,0.6932907348242812,0.9094792514239219,0.4451282051282051,0.45187845835454177,0.8877109886996104,0.10353319124069445,0.1593007306267942,4471,445,96,217,541
42,train_oof,fixed_50_50,0.59,0.43282932611345665,0.9059093516924842,0.34804753820033957,0.6549520766773163,0.9218877135882831,0.45454545454545453,0.4368311519935116,0.88786176454532,0.13371028896124482,0.29404896343290066,4532,384,108,205,492
42,train_oof,best_fixed,0.625,0.4319953335026707,0.8988334289539108,0.3328173374613003,0.6869009584664537,0.9123270951993491,0.4483837330552659,0.4460774196934483,0.8882595008279673,0.10464211415934935,0.1997252004686261,4485,431,98,215,529
42,train_oof,adaptive,0.575,0.43258755165682544,0.9321093899407152,0.4406779661016949,0.4984025559105431,0.9597233523189586,0.46776611694152925,0.43992781243934154,0.8743803242720516,0.1164401060382084,0.25826653119153853,4718,198,157,156,355
42,train_oof,conservative,0.575,0.43258755165682544,0.9321093899407152,0.4406779661016949,0.4984025559105431,0.9597233523189586,0.46776611694152925,0.43992781243934154,0.8743803242720516,0.1164401060382084,0.25826653119153853,4718,198,157,156,355
42,train_oof,oracle,0.5,0.6618093139364477,0.9527634346911455,0.5739910313901345,0.8178913738019169,0.9613506916192026,0.6745718050065876,0.4803630590541612,0.8896210327105597,0.047236565308854464,0.047236565308854464,4726,190,57,256,247
42,validation,temporal,0.5199999999999999,0.23301299511113988,0.6873207114170969,0.1371900826446281,0.7830188679245284,0.6811240073304826,0.23347398030942335,0.12428799133555868,0.7590968292205023,0.22945286321910016,0.41161265848677564,1115,522,23,83,545
42,validation,cwt,0.635,0.5491146400648436,0.942627653471027,0.5230769230769231,0.6415094339622641,0.9621258399511301,0.576271186440678,0.5408890543986009,0.8983932873065088,0.060092483945071315,0.07866049237523708,1575,62,38,68,100
42,validation,fixed_50_50,0.59,0.54593693180924,0.9409064830751578,0.5111111111111111,0.6509433962264151,0.9596823457544288,0.5726141078838174,0.4670023415423669,0.8976210509330228,0.1050557919040553,0.2451365754310064,1571,66,37,69,103
42,validation,best_fixed,0.625,0.5491146400648436,0.942627653471027,0.5230769230769231,0.6415094339622641,0.9621258399511301,0.576271186440678,0.5219083426896827,0.9008079667131546,0.06524093118038012,0.12860331729196786,1575,62,38,68,100
42,validation,adaptive,0.575,0.5466306651044197,0.9420539300057372,0.5190839694656488,0.6415094339622641,0.9615149664019548,0.5738396624472574,0.44448428648456423,0.83123177464529,0.07887689211757049,0.1769133026829066,1574,63,38,68,101
42,validation,conservative,0.575,0.5466306651044197,0.9420539300057372,0.5190839694656488,0.6415094339622641,0.9615149664019548,0.5738396624472574,0.44448428648456423,0.83123177464529,0.07887689211757049,0.1769133026829066,1574,63,38,68,101
42,validation,oracle,0.5,0.6572798254442126,0.9443488238668961,0.5251396648044693,0.8867924528301887,0.9480757483200978,0.6596491228070176,0.4725745730138552,0.9174341005751432,0.055651176133103844,0.055651176133103844,1552,85,12,94,97
