seed,split,method,threshold,mcc,accuracy,precision,recall_pd,specificity,f1,pr_auc,roc_auc,brier,ece_10_bins,tn,fp,fn,tp,errors
42,train_oof,temporal,0.095,0.9487337291688291,0.9742856229623473,0.9656676604424917,0.9835389631144921,0.9650322828102027,0.9745213852512232,0.9964609819941916,0.9958434070743318,0.020165709426281528,0.018123327777104462,60384,2188,1030,61542,3218
42,train_oof,cwt,0.4099999999999999,0.9824404506282429,0.9912021351403184,0.9954541790924478,0.9869110784376398,0.9954931918429969,0.9911642203086504,0.9993601578673135,0.9992211913766282,0.007149417037310063,0.003090818355301091,62290,282,819,61753,1101
42,train_oof,fixed_50_50,0.20999999999999996,0.9831394335540063,0.9915697116921307,0.9916404264501383,0.9914977945406891,0.9916416288435722,0.9915691053662045,0.9993933654649542,0.9992784314515321,0.009955840299731651,0.018045779149746404,62049,523,532,62040,1055
42,train_oof,best_fixed,0.25499999999999995,0.9838456318774095,0.9919213066547338,0.9931428937629172,0.9906827334910183,0.9931598798184491,0.991911288193361,0.9994807882592491,0.9993914907488697,0.007627197935504822,0.01146267173261701,62144,428,583,61989,1011
42,train_oof,adaptive,0.22999999999999998,0.9839883179497048,0.9919932238061753,0.9929543634907926,0.9910183468644121,0.9929681007479384,0.99198541056774,0.9993789441144403,0.9992653329438768,0.007210932996636344,0.011501214627804492,62132,440,562,62010,1002
42,train_oof,conservative,0.22999999999999998,0.9839883179497048,0.9919932238061753,0.9929543634907926,0.9910183468644121,0.9929681007479384,0.99198541056774,0.9993789441144403,0.9992653329438768,0.007210932996636344,0.011501214627804492,62132,440,562,62010,1002
42,train_oof,oracle,0.5,0.988078498761964,0.9940069040465384,0.9997251681324366,0.9882854951096337,0.9997283129834431,0.9939724177837785,0.9938711352065102,0.9940069040465384,0.005993095953461612,0.005993095953461618,62555,17,733,61839,750
42,validation,temporal,0.095,0.9583519445260205,0.9790947449175297,0.9880812817506839,0.9698887610280016,0.9883007288070579,0.9789005032907472,0.9949950252447214,0.9928209446825345,0.035533362098009905,0.03692780784538734,15459,183,471,15171,654
42,validation,cwt,0.4099999999999999,0.985577895040838,0.9927758598644675,0.996393611540443,0.9891318245748626,0.9964198951540724,0.9927494385627206,0.999602490037492,0.9995482526569717,0.005904113055094194,0.00280820499288633,15586,56,170,15472,226
42,validation,fixed_50_50,0.20999999999999996,0.9858793683025618,0.9929356859736607,0.9949290711855703,0.9909218769978264,0.9949494949494949,0.9929214310880498,0.9993540511183524,0.9991454401817446,0.01361113284156402,0.032073164659549576,15563,79,142,15500,221
42,validation,best_fixed,0.25499999999999995,0.986324762574089,0.9931594425265311,0.9948678470618424,0.9914333205472446,0.9948855645058177,0.9931476144732629,0.9995135383099367,0.9994072026926611,0.0079807217645821,0.017645983615857196,15562,80,134,15508,214
42,validation,adaptive,0.22999999999999998,0.9864583897195728,0.9932233729702085,0.9956315045612232,0.9907940161104718,0.995652729829945,0.9932068700333248,0.9993430729328434,0.9991351243372336,0.007286468288043142,0.017641721818489553,15574,68,144,15498,212
42,validation,conservative,0.22999999999999998,0.9864583897195728,0.9932233729702085,0.9956315045612232,0.9907940161104718,0.995652729829945,0.9932068700333248,0.9993430729328434,0.9991351243372336,0.007286468288043142,0.017641721818489553,15574,68,144,15498,212
42,validation,oracle,0.5,0.9876719014683403,0.993798746963304,0.9999352750809062,0.9876614243702851,0.9999360695563227,0.9937604528496076,0.9937667858793582,0.9937987469633041,0.0062012530366960745,0.006201253036696058,15641,1,193,15449,194
42,test_confirmatory,temporal,0.095,0.9641541886290018,0.9820173009758039,0.9897303610419946,0.9741424981457528,0.9898921038058548,0.981874566762852,0.9956571248265934,0.9937796179375776,0.030634378851393144,0.03640096826247271,495147,5056,12934,487269,17990
42,test_confirmatory,cwt,0.4099999999999999,0.9829161773348141,0.991445473137906,0.9949921368292394,0.9878629276513735,0.9950280186244385,0.9914147159673442,0.9994703367817604,0.9993892130736639,0.00683314146385,0.0023488701448560567,497716,2487,6071,494132,8558
42,test_confirmatory,fixed_50_50,0.20999999999999996,0.9859946192354873,0.9929968432816276,0.993675865589622,0.9923091224962666,0.9936845640669888,0.9929920237506977,0.9994813617563795,0.9993380023751924,0.012172799333333106,0.03040887274954228,497044,3159,3847,496356,7006
42,test_confirmatory,best_fixed,0.25499999999999995,0.9853150407731253,0.9926569812656062,0.9933868975279451,0.991917281583677,0.9933966809475353,0.9926515456162358,0.9995591425249051,0.999471972417435,0.007862730192519436,0.01689326570564893,496900,3303,4043,496160,7346
42,test_confirmatory,adaptive,0.22999999999999998,0.9861037496216432,0.9930508213665252,0.9940721479098261,0.992017241000154,0.9940844017328965,0.9930436314005195,0.9994377251381538,0.999296607510646,0.006946701885054916,0.017471228193783755,497244,2959,3993,496210,6952
42,test_confirmatory,conservative,0.22999999999999998,0.9861037496216432,0.9930508213665252,0.9940721479098261,0.992017241000154,0.9940844017328965,0.9930436314005195,0.9994377251381538,0.999296607510646,0.006946701885054916,0.017471228193783755,497244,2959,3993,496210,6952
42,test_confirmatory,oracle,0.5,0.9896932760904904,0.9948201030381665,0.9999979798918434,0.9896422052646625,0.9999980008116705,0.9947931424621141,0.9948191034480403,0.9948201030381665,0.0051798969618334955,0.0051798969618335215,500202,1,5181,495022,5182
43,train_oof,temporal,0.14999999999999997,0.9596336296732779,0.9795835197852074,0.9950182280067963,0.9639934795116026,0.9951735600588123,0.9792601852377976,0.9951970351891536,0.9935540743032191,0.02605032102548224,0.024344705231399352,62270,302,2253,60319,2555
43,train_oof,cwt,0.09,0.9611704936175312,0.9804385348079013,0.9688542998845878,0.9927923032666368,0.9680847663491657,0.9806772436656406,0.9982871785198202,0.9973039538921661,0.010102419715587492,0.008425754548855365,60575,1997,451,62121,2448
43,train_oof,fixed_50_50,0.16499999999999998,0.9815893541407259,0.990794604615483,0.9905280644027729,0.9910662916320399,0.9905229175989261,0.9907971049225902,0.9993300216377283,0.9991980039991182,0.013322219296858694,0.02383858837262991,61979,593,559,62013,1152
43,train_oof,best_fixed,0.13999999999999999,0.9768138660134397,0.9883813846448891,0.983436689236221,0.993495493191843,0.9832672760979352,0.9884405011766202,0.999354585373278,0.999248055398271,0.01024934329041369,0.01681934660715912,61525,1047,407,62165,1454
43,train_oof,adaptive,0.15499999999999997,0.9818301619702855,0.9909144665345522,0.9901389797514002,0.9917055552004092,0.9901233778686953,0.9909216483156743,0.9993459223827827,0.9992135986403691,0.008837105434856272,0.014750953640556114,61954,618,519,62053,1137
43,train_oof,conservative,0.11499999999999999,0.9737889143412845,0.9868391612861983,0.9796111154845312,0.9943744805983507,0.9793038419740459,0.9869375907111756,0.9993884869568175,0.999282129550205,0.008337022172222286,0.012364622077891569,61277,1295,352,62220,1647
43,train_oof,oracle,0.5,0.9841981776714501,0.992041168573803,0.9997078491203012,0.9843700057533721,0.9997123313942339,0.9919796431102236,0.991897418313556,0.992041168573803,0.007958831426197022,0.007958831426197044,62554,18,978,61594,996
43,validation,temporal,0.14999999999999997,0.9699803927462562,0.9849443805140008,0.9917028586244895,0.9780718578186932,0.9918169032093083,0.9848401944059996,0.9976765482833858,0.9970809858860774,0.01791512487793346,0.015449219749881657,15514,128,343,15299,471
43,validation,cwt,0.09,0.982167470618446,0.9910817031070196,0.9924985574148875,0.9896432681242808,0.9925201380897584,0.9910688562373956,0.99947057472045,0.9994132189062584,0.013847691791937572,0.015932777217331193,15525,117,162,15480,279
43,validation,fixed_50_50,0.16499999999999998,0.9847500877576899,0.9923603119805652,0.9961986985374653,0.9884925201380897,0.9962281038230405,0.992330648525495,0.999464736713651,0.9993717266505233,0.013345697143872478,0.02050694975540493,15583,59,180,15462,239
43,validation,best_fixed,0.13999999999999999,0.9856973793322056,0.9928397903081447,0.995819397993311,0.9898350594553126,0.9958445211609769,0.9928182109650528,0.9995827812718007,0.9995266809345749,0.013038323246856404,0.018649814068106455,15577,65,159,15483,224
43,validation,adaptive,0.15499999999999997,0.9850646341392569,0.9925201380897584,0.9960082410507339,0.989003963687508,0.9960363124920087,0.9924937447873228,0.9994764587723357,0.999383101054356,0.010783480403279155,0.015792246246568782,15580,62,172,15470,234
43,validation,conservative,0.11499999999999999,0.9856204861959553,0.992807825086306,0.9943564419932021,0.9912415292162128,0.9943741209563994,0.9927965423403233,0.9995847128689671,0.9995285855239339,0.010767026420639278,0.014832935468365187,15554,88,137,15505,225
